"resort","latitude","longitude","country","continent","price","season","highest_point","lowest_point","beginner_slopes","intermediate_slopes","difficult_slopes","total_slopes","longest_run","snow_cannons","surface_lifts","chair_lifts","gondola_lifts","total_lifts","lift_capacity","child_friendly","snowparks","nightskiing","summer_skiing","vertical_drop","beginner_percent","intermediate_percent","difficult_percent","price_clean","lift_capacity_clean","price_per_km","capacity_per_lift","terrain_score","vertical_score","lift_score","longest_run_score","affordability_score","value_score"
"Hemsedal",60.9282437,8.38348693,"Norway","Europe",46,"November - May",1450,620,29,10,4,43,6,325,15,6,0,21,22921,"Yes","Yes","Yes","No",830,67.44186046511628,23.25581395348837,9.30232558139535,46,22921,1.069767441860465,1091.4761904761904,0.08206686930091185,0.3221884498480243,0.44072948328267475,0.6231003039513677,0.6492307692307693,36.3
"Red Mountain Resort-Rossland",49.1055201,-117.8462801,"Canada","North America",60,"December - April",2075,1185,20,50,50,120,7,0,2,5,1,8,9200,"Yes","Yes","Yes","No",890,16.666666666666664,41.66666666666667,41.66666666666667,60,9200,0.5,1150,0.7203647416413373,0.3708206686930091,0.0547112462006079,0.7112462006079028,0.29230769230769227,44.7
"Hafjell",61.2303686,10.52901357,"Norway","Europe",45,"November - April",1030,195,33,7,4,44,6,150,14,3,1,18,21060,"Yes","Yes","Yes","No",835,75,15.909090909090908,9.090909090909092,45,21060,1.0227272727272727,1170,0.10638297872340426,0.3282674772036474,0.39209726443769,0.6231003039513677,0.6799999999999999,37.1
"Voss",60.6837065,6.407904807,"Norway","Europe",43,"November - May",960,284,25,4,11,40,0,40,7,4,0,11,11900,"Yes","Yes","No","No",676,62.5,10,27.500000000000004,43,11900,1.075,1081.8181818181818,0,0.2006079027355623,0.11246200607902736,0,0.7446153846153847,21.6
"Fernie",49.5041747,-115.062867,"Canada","North America",67,"December - April",2134,1052,42,58,42,142,5,11,3,7,0,10,14514,"Yes","Yes","No","No",1082,29.577464788732392,40.845070422535215,29.577464788732392,67,14514,0.47183098591549294,1451.4,0.8024316109422492,0.5440729483282675,0.2188449848024316,0.541033434650456,0.1938461538461539,50.2
"Sun Peaks",50.8844684,-119.8823295,"Canada","North America",62,"November - April",2082,1198,13,78,43,134,8,0,6,6,0,12,13895,"Yes","Yes","Yes","No",884,9.701492537313433,58.2089552238806,32.08955223880597,62,13895,0.4626865671641791,1157.9166666666667,0.7720364741641338,0.3677811550151976,0.19756838905775076,0.790273556231003,0.25230769230769234,48.3
"Panorama",50.7369988,-119.1205606,"Canada","North America",62,"December - April",2365,1140,20,55,25,100,5,0,3,6,4,13,11890,"Yes","Yes","Yes","No",1225,20,55.00000000000001,25,62,11890,0.62,914.6153846153846,0.5805471124620061,0.6352583586626139,0.1094224924012158,0.541033434650456,0.25230769230769234,45.4
"Zermatt - Matterhorn",45.96300885,7.715412186,"Switzerland","Europe",81,"Year-round",3899,1562,75,220,27,322,16,1060,21,22,20,63,93464,"Yes","Yes","No","Yes",2337,23.29192546583851,68.32298136645963,8.385093167701864,81,93464,0.2515527950310559,1483.5555555555557,0.9483282674772037,0.9848024316109423,0.9057750759878419,0.9908814589665653,0.13230769230769235,79.2
"Val Gardena",46.5766427,11.6444217,"Italy","Europe",54,"December - April",2518,1236,52,105,18,175,10,630,29,41,14,84,121914,"Yes","Yes","No","No",1282,29.714285714285715,60,10.285714285714285,54,121914,0.30857142857142855,1451.357142857143,0.8449848024316109,0.7051671732522796,0.939209726443769,0.8814589665653495,0.3538461538461538,73
"Gressoney - La-Trinite (Monterosa Ski)",45.8597574,7.752615678,"Italy","Europe",43,"December - April",3275,1212,23,94,15,132,8,655,9,9,12,30,31984,"Yes","Yes","No","No",2063,17.424242424242426,71.21212121212122,11.363636363636363,43,31984,0.32575757575757575,1066.1333333333334,0.7659574468085106,0.9513677811550152,0.6170212765957447,0.790273556231003,0.7446153846153847,78.8
"Les Gets (Les Portes du Soleil)",46.1550977,6.6633312,"France","Europe",51,"December - April",2466,1000,310,210,60,580,0,1074,89,74,11,174,252280,"Yes","Yes","Yes","No",1466,53.44827586206896,36.206896551724135,10.344827586206897,51,252280,0.08793103448275862,1449.8850574712644,0.9756838905775076,0.817629179331307,0.993920972644377,0,0.46769230769230774,74
"Espace San Bernardo � La Rosi�re/?La Thuile",45.62647605,6.852962415,"France","Europe",43,"December - April",2641,1176,55,83,22,160,11,0,21,18,1,40,53669,"Yes","Yes","No","No",1465,34.375,51.87500000000001,13.750000000000002,43,53669,0.26875,1341.725,0.8328267477203647,0.8115501519756839,0.7933130699088146,0.9118541033434651,0.7446153846153847,81.2
"Steamboat",35.7540215,-109.8537507,"United States","North America",120,"November - April",3221,2103,25,95,45,165,4,0,1,14,2,17,32720,"Yes","Yes","Yes","No",1118,15.151515151515152,57.57575757575758,27.27272727272727,120,32720,0.7272727272727273,1924.7058823529412,0.8389057750759878,0.5835866261398176,0.6291793313069909,0.45592705167173253,0.027692307692307683,54.3
"Les Contamines-?Hauteluce",45.7970821,6.689198693,"France","Europe",39,"December - April",2437,1164,40,60,20,120,0,0,12,8,4,24,33972,"Yes","No","Yes","No",1273,33.33333333333333,50,16.666666666666664,39,33972,0.325,1415.5,0.7203647416413373,0.7021276595744681,0.6474164133738601,0,0.84,65.7
"Crested Butte",38.8698201,-106.984043,"United States","North America",98,"November - April",3707,2774,27,69,25,121,0,0,5,10,0,15,19717,"Yes","Yes","No","No",933,22.31404958677686,57.02479338842975,20.66115702479339,98,19717,0.8099173553719008,1314.4666666666667,0.7416413373860182,0.41033434650455924,0.3434650455927052,0,0.06769230769230772,39
"Jackson Hole",34.641109,-98.67619161,"United States","North America",119,"December - April",3185,1924,16,50,50,116,11,0,1,9,3,13,20480,"Yes","Yes","No","No",1261,13.793103448275861,43.103448275862064,43.103448275862064,119,20480,1.0258620689655173,1575.3846153846155,0.7082066869300911,0.6869300911854104,0.3586626139817629,0.9118541033434651,0.03384615384615386,53.6
"Park City",40.6460921,-111.4979963,"United States","North America",97,"November - April",3049,2080,27,152,71,250,4,480,5,32,4,41,76110,"Yes","Yes","Yes","No",969,10.8,60.8,28.4,97,76110,0.388,1856.341463414634,0.8966565349544073,0.44072948328267475,0.8571428571428571,0.45592705167173253,0.0707692307692308,56.7
"Arapahoe Basin",40.1211211,-80.6698426,"United States","North America",83,"October - June",3790,3286,40,25,40,105,4,0,2,5,0,7,7200,"Yes","Yes","No","No",504,38.095238095238095,23.809523809523807,38.095238095238095,83,7200,0.7904761904761904,1028.5714285714287,0.6656534954407295,0.09422492401215805,0.0364741641337386,0.45592705167173253,0.11692307692307691,29.8
"Valchiavenna � Madesimo/?Campodolcino",46.4254637,9.389833451,"Italy","Europe",39,"November - April",1550,1082,13,28,5,46,0,0,1,9,3,13,26060,"Yes","Yes","Yes","No",468,28.26086956521739,60.86956521739131,10.869565217391305,39,26060,0.8478260869565217,2004.6153846153845,0.13069908814589665,0.0668693009118541,0.5106382978723404,0,0.84,30.1
"La Thuile / La Rosi�re - Espace San Bernardo",45.7162875,6.9486119,"Italy","Europe",43,"December - April",2641,1176,55,83,22,160,0,0,21,18,1,40,53669,"Yes","Yes","No","No",1465,34.375,51.87500000000001,13.750000000000002,43,53669,0.26875,1341.725,0.8328267477203647,0.8115501519756839,0.7933130699088146,0,0.7446153846153847,72.1
"Livigno � Carosello/?Mottolino",46.5200926,10.1289555,"Italy","Europe",46,"November - May",2798,1816,30,65,20,115,6,0,25,13,6,44,50850,"Yes","Yes","Yes","No",982,26.08695652173913,56.52173913043478,17.391304347826086,46,50850,0.4,1155.6818181818182,0.6899696048632219,0.45896656534954405,0.7872340425531915,0.6231003039513677,0.6492307692307693,63.2
"Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva",46.2269942,10.8270157,"Italy","Europe",50,"November - April",2504,770,60,68,22,150,5,0,14,34,17,65,102340,"Yes","Yes","Yes","No",1734,40,45.33333333333333,14.666666666666666,50,102340,0.3333333333333333,1574.4615384615386,0.817629179331307,0.8996960486322189,0.9331306990881459,0.541033434650456,0.5107692307692308,76.6
"Wagrain (Ski amed�)",47.3336293,13.3031532,"Austria","Europe",52,"November - April",1980,740,30,81,4,115,6,600,22,16,11,49,75398,"Yes","Yes","No","No",1240,26.08695652173913,70.43478260869566,3.4782608695652173,52,75398,0.45217391304347826,1538.734693877551,0.6899696048632219,0.6474164133738601,0.8480243161094225,0.6231003039513677,0.4338461538461539,64.5
"Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus)",47.392906,12.636085,"Austria","Europe",53,"November - April",2096,830,140,112,18,270,7,927,21,22,28,71,135104,"Yes","Yes","Yes","No",1266,51.85185185185185,41.48148148148148,6.666666666666667,53,135104,0.1962962962962963,1902.8732394366198,0.9148936170212766,0.6899696048632219,0.9422492401215805,0.7112462006079028,0.3846153846153846,73.6
"Sestriere ski resort (Via Lattea)",44.954538,6.880658,"Italy","Europe",48,"November - April",2749,1372,96,220,84,400,7,0,29,35,7,71,96433,"Yes","No","Yes","No",1377,24,55.00000000000001,21,48,96433,0.12,1358.2112676056338,0.9544072948328267,0.7750759878419453,0.9118541033434651,0.7112462006079028,0.5753846153846154,80.3
"Kicking Horse - Golden",51.2937094,-116.9624651,"Canada","North America",67,"December - April",2450,1190,20,20,60,100,10,10,1,3,1,5,5250,"Yes","No","No","No",1260,20,20,60,67,5250,0.67,1050,0.5805471124620061,0.6778115501519757,0.0060790273556231,0.8814589665653495,0.1938461538461539,47.1
"Grandvalira � Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp",42.54115005,1.733382094,"Andorra","Europe",47,"November - April",2640,1710,100,77,33,210,6,1032,37,28,7,72,99017,"Yes","Yes","Yes","No",930,47.61904761904761,36.666666666666664,15.714285714285714,47,99017,0.22380952380952382,1375.236111111111,0.8723404255319149,0.3981762917933131,0.9240121580547113,0.6231003039513677,0.6030769230769231,68.3
"Rinerhorn (Davos Klosters)",46.74122595,9.798008893,"Switzerland","Europe",48,"December - March",2490,1454,10,22,8,40,7,14,6,0,1,7,6900,"Yes","Yes","No","No",1036,25,55.00000000000001,20,48,6900,1.2,985.7142857142857,0,0.49544072948328266,0.0243161094224924,0.7112462006079028,0.5753846153846154,31.4
"Jakobshorn (Davos Klosters)",46.772399,9.8493406,"Switzerland","Europe",58,"December - April",2590,1540,25,13,2,40,6,140,5,5,3,13,15800,"Yes","Yes","No","No",1050,62.5,32.5,5,58,15800,1.45,1215.3846153846155,0,0.5045592705167173,0.24924012158054712,0.6231003039513677,0.3046153846153846,28.7
"Big White",49.715991,-118.933872,"Canada","North America",61,"November - April",2285,1508,18,56,29,103,7,0,3,10,1,14,22625,"Yes","Yes","Yes","No",777,17.475728155339805,54.36893203883495,28.155339805825243,61,22625,0.5922330097087378,1616.0714285714287,0.6474164133738601,0.2735562310030395,0.4316109422492401,0.7112462006079028,0.28,45.4
"Obergurgl-Hochgurgl",46.879426,11.0387065,"Austria","Europe",50,"November - May",3082,1793,35,55,20,110,8,320,13,7,8,28,38861,"Yes","Yes","Yes","No",1289,31.818181818181817,50,18.181818181818183,50,38861,0.45454545454545453,1387.892857142857,0.6747720364741642,0.7082066869300911,0.6990881458966566,0.790273556231003,0.5107692307692308,66.6
"Coronet Peak",-44.9158907,168.7395712,"New Zealand","Oceania",74,"June - October",1649,1229,8,16,16,40,0,202,5,3,0,8,7200,"Yes","Yes","Yes","Yes",420,20,40,40,74,7200,1.85,900,0,0.04559270516717325,0.0364741641337386,0,0.15076923076923077,4.7
"Les Deux alpes",45.0099949,6.1237609,"France","Europe",49,"December - April, June - August, October - November",3560,1280,110,56,34,200,16,224,26,21,7,54,72334,"Yes","Yes","Yes","Yes",2280,55.00000000000001,28.000000000000004,17,49,72334,0.245,1339.5185185185185,0.8632218844984803,0.9817629179331308,0.8449848024316109,0.9908814589665653,0.5507692307692308,84
"Catedral Alta Patagonia",-41.16556,-71.444171,"Argentina","South America",51,"June - October",2180,1030,30,60,30,120,9,0,19,17,2,38,35130,"Yes","Yes","No","Yes",1150,25,50,25,51,35130,0.425,924.4736842105264,0.7203647416413373,0.5927051671732523,0.6565349544072948,0.8571428571428571,0.46769230769230774,64.2
"Whistler",50.1171903,-122.9543022,"Canada","North America",93,"November - May, June - August",2284,653,40,110,50,200,11,300,14,18,5,37,59203,"Yes","Yes","No","Yes",1631,20,55.00000000000001,25,93,59203,0.465,1600.081081081081,0.8632218844984803,0.878419452887538,0.8115501519756839,0.9118541033434651,0.07692307692307687,70.7
