"resort","latitude","longitude","country","continent","price","season","highest_point","lowest_point","beginner_slopes","intermediate_slopes","difficult_slopes","total_slopes","longest_run","snow_cannons","surface_lifts","chair_lifts","gondola_lifts","total_lifts","lift_capacity","child_friendly","snowparks","nightskiing","summer_skiing","vertical_drop","beginner_percent","intermediate_percent","difficult_percent","price_clean","lift_capacity_clean","price_per_km","capacity_per_lift","terrain_score","vertical_score","lift_score","longest_run_score","affordability_score","value_score"
"Alpe du Grand-Serre-La Morte",45.0274177,5.8581966,"France","Europe",27,"December - March",2184,1367,36,17,2,55,0,0,12,3,0,15,13486,"Yes","Yes","No","No",817,65.45454545454545,30.909090909090907,3.6363636363636362,27,13486,0.4909090909090909,899.0666666666667,0.24012158054711247,0.3100303951367781,0.17933130699088146,0,0.9876923076923076,37.4
"Les Angles",43.0835762,0.0062129,"France","Europe",38,"November - April",2376,1600,22,23,10,55,0,363,15,4,1,20,21787,"Yes","Yes","Yes","No",776,40,41.81818181818181,18.181818181818183,38,21787,0.6909090909090909,1089.35,0.24012158054711247,0.270516717325228,0.41641337386018235,0,0.8492307692307692,37.2
"Kopaonik",43.2689885,20.826741,"Serbia","Europe",30,"December - April",2017,1057,30,19,6,55,0,315,14,13,0,27,35052,"Yes","Yes","Yes","No",960,54.54545454545454,34.54545454545455,10.909090909090908,30,35052,0.5454545454545454,1298.2222222222222,0.24012158054711247,0.4316109422492401,0.6534954407294833,0,0.96,47
"Aussois",45.2275415,6.7413988,"France","Europe",29,"December - April",2750,1500,30,22,3,55,0,130,4,4,0,8,9228,"Yes","Yes","No","No",1250,54.54545454545454,40,5.454545454545454,29,9228,0.5272727272727272,1153.5,0.24012158054711247,0.6656534954407295,0.060790273556231005,0,0.9753846153846154,44.3
"Apache",35.214632,-109.4786676,"United States","North America",48,"Unknown",3475,2926,12,18,25,55,0,0,2,8,1,11,15800,"Yes","No","No","No",549,21.818181818181817,32.72727272727273,45.45454545454545,48,15800,0.8727272727272727,1436.3636363636363,0.24012158054711247,0.1094224924012158,0.24924012158054712,0,0.5753846153846154,25.2
"Erciyes-Kayseri",38.5327397,35.4502248,"Turkey","Asia",17,"December - April",3360,2100,18,29,7,54,0,82,4,11,2,17,23800,"Yes","No","No","No",1260,33.33333333333333,53.70370370370371,12.962962962962962,17,23800,0.3148148148148148,1400,0.23404255319148937,0.6778115501519757,0.45592705167173253,0,0.9969230769230769,50.7
"Hunter Mountain",42.1778662,-74.2304216,"United States","North America",68,"Unknown",975,487,18,18,19,55,0,0,4,9,0,13,15910,"Yes","No","No","No",488,32.72727272727273,32.72727272727273,34.54545454545455,68,15910,1.2363636363636363,1223.8461538461538,0.24012158054711247,0.0790273556231003,0.2613981762917933,0,0.17846153846153845,16.7
"First-Grindelwald",46.6504815,8.065073279,"Switzerland","Europe",55,"December - March",2501,1050,30,15,8,53,6,38,3,3,3,9,12720,"Yes","Yes","No","No",1451,56.60377358490566,28.30188679245283,15.09433962264151,55,12720,1.0377358490566038,1413.3333333333333,0.22796352583586627,0.8085106382978723,0.1337386018237082,0.6231003039513677,0.3323076923076923,41.9
"So?renberg-Rothorn-?Dorf",46.8221657,8.0349311,"Switzerland","Europe",44,"December - April",2350,1110,30,15,8,53,0,0,12,3,2,17,20930,"Yes","Yes","Yes","No",1240,56.60377358490566,28.30188679245283,15.09433962264151,44,20930,0.8301886792452831,1231.1764705882354,0.22796352583586627,0.6474164133738601,0.3799392097264438,0,0.716923076923077,43.1
"Riserva Bianca-Limone Piemonte",44.1853305,7.581660887,"Italy","Europe",34,"December - April",2060,1046,11,35,5,51,0,0,5,11,1,17,20655,"Yes","No","No","No",1014,21.568627450980394,68.62745098039215,9.803921568627452,34,20655,0.6666666666666666,1215,0.20364741641337386,0.48936170212765956,0.3677811550151976,0,0.9138461538461539,42.1
"Eldora Mountain",37.3862661,-122.0726046,"United States","North America",80,"November - April",3292,2804,11,26,15,52,0,0,3,8,0,11,13020,"Yes","Yes","Yes","No",488,21.153846153846153,50,28.846153846153843,80,13020,1.5384615384615385,1183.6363636363637,0.21580547112462006,0.0790273556231003,0.1458966565349544,0,0.13538461538461544,13.3
"Donner Ski Ranch",39.3188801,-120.331067,"United States","North America",59,"December - April",2371,2142,13,26,13,52,2,0,0,6,0,6,6500,"Yes","No","No","No",229,25,50,25,59,6500,1.1346153846153846,1083.3333333333333,0.21580547112462006,0.0121580547112462,0.015197568389057751,0.3890577507598784,0.30153846153846153,16.9
"Las Len?as",-35.1455071,-70.0820619,"Argentina","South America",44,"June - September",3430,2200,5,12,35,52,0,0,7,7,0,14,13340,"Yes","Yes","Yes","Yes",1230,9.615384615384617,23.076923076923077,67.3076923076923,44,13340,0.8461538461538461,952.8571428571429,0.21580547112462006,0.6413373860182371,0.16717325227963525,0,0.716923076923077,39.4
